time,duty cycle ,read rpm,Kp,Ki,Kd
1,0,0,1,0,0
3,41,0,1,0,0
4,41,33,1,0,0
5,41,34,1,0,0
6,41,34,1,0,0
7,41,34,1,0,0
8,41,34,1,0,0
9,41,35,1,0,0
11,42,35,1,0,0
12,42,36,1,0,0
13,42,36,1,0,0
14,42,36,1,0,0
15,42,36,1,0,0
17,43,36,1,0,0
18,43,37,1,0,0
19,43,37,1,0,0
20,43,37,1,0,0
21,43,37,1,0,0
23,43,37,1,0,0
24,43,38,1,0,0
25,43,38,1,0,0
26,43,38,1,0,0
27,43,38,1,0,0
28,43,38,1,0,0
30,44,39,1,0,0
31,44,39,1,0,0
32,44,39,1,0,0
33,44,39,1,0,0
35,44,39,1,0,0
36,44,40,1,0,0
37,44,39,1,0,0
38,44,39,1,0,0
39,44,39,1,0,0
41,45,40,1,0,0
42,45,40,1,0,0
43,45,40,1,0,0
44,45,40,1,0,0
45,45,40,1,0,0
46,45,40,1,0,0
48,46,41,1,0,0
49,46,41,1,0,0
50,46,41,1,0,0
51,46,41,1,0,0
52,46,41,1,0,0
54,46,41,1,0,0
55,46,42,1,0,0
56,46,42,1,0,0
57,46,42,1,0,0
60,47,43,1,0,0
61,47,43,1,0,0
62,47,43,1,0,0
63,47,43,1,0,0
66,48,44,1,0,0
67,48,44,1,0,0
68,48,44,1,0,0
69,48,44,1,0,0
70,48,44,1,0,0
72,49,45,1,0,0
73,49,45,1,0,0
74,49,45,1,0,0
76,50,46,1,0,0
77,50,45,1,0,0
78,50,45,1,0,0
80,50,46,1,0,0
81,50,46,1,0,0
82,50,46,1,0,0
84,51,46,1,0,0
85,51,47,1,0,0
86,51,46,1,0,0
88,51,47,1,0,0
89,51,47,1,0,0
90,51,47,1,0,0
93,53,48,1,0,0
94,53,48,1,0,0
95,53,48,1,0,0
97,53,48,1,0,0
98,53,48,1,0,0
99,53,48,1,0,0
101,54,49,1,0,0
102,54,49,1,0,0
103,54,49,1,0,0
105,54,49,1,0,0
106,54,50,1,0,0
108,55,50,1,0,0
109,55,50,1,0,0
110,55,50,1,0,0
113,56,51,1,0,0
114,56,51,1,0,0
115,56,51,1,0,0
116,56,51,1,0,0
118,57,51,1,0,0
119,57,51,1,0,0
120,57,51,1,0,0
122,57,52,1,0,0
123,57,52,1,0,0
124,57,52,1,0,0
125,57,52,1,0,0
126,57,52,1,0,0
129,58,53,1,0,0
130,58,53,1,0,0
131,58,53,1,0,0
132,58,53,1,0,0
133,58,53,1,0,0
134,58,53,1,0,0
136,59,54,1,0,0
138,60,54,1,0,0
139,60,54,1,0,0
140,60,54,1,0,0
141,60,54,1,0,0
144,61,55,1,0,0
145,61,55,1,0,0
146,61,55,1,0,0
147,61,55,1,0,0
148,61,55,1,0,0
149,61,55,1,0,0
151,61,55,1,0,0
152,61,55,1,0,0
153,61,55,1,0,0
155,62,56,1,0,0
158,63,56,1,0,0
159,63,57,1,0,0
162,64,57,1,0,0
163,64,57,1,0,0
166,65,58,1,0,0
167,65,58,1,0,0
168,65,58,1,0,0
169,65,58,1,0,0
173,67,59,1,0,0
174,67,59,1,0,0
175,67,59,1,0,0
176,67,59,1,0,0
177,67,59,1,0,0
178,67,59,1,0,0
181,68,60,1,0,0
182,68,60,1,0,0
185,70,60,1,0,0
186,70,60,1,0,0
187,70,60,1,0,0
188,70,60,1,0,0
189,70,61,1,0,0
190,70,61,1,0,0
193,71,61,1,0,0
194,71,61,1,0,0
195,71,61,1,0,0
196,71,61,1,0,0
200,73,62,1,0,0
201,73,62,1,0,0
202,73,62,1,0,0
203,73,62,1,0,0
206,74,62,1,0,0
208,74,63,1,0,0
209,74,63,1,0,0
210,74,63,1,0,0
211,74,63,1,0,0
212,74,63,1,0,0
213,74,63,1,0,0
217,76,64,1,0,0
218,76,64,1,0,0
219,76,64,1,0,0
220,76,64,1,0,0
224,78,65,1,0,0
225,78,65,1,0,0
226,78,65,1,0,0
230,80,65,1,0,0
233,81,66,1,0,0
234,81,66,1,0,0
235,81,66,1,0,0
236,81,66,1,0,0
240,82,67,1,0,0
241,82,67,1,0,0
242,82,67,1,0,0
243,82,67,1,0,0
244,82,67,1,0,0
248,84,68,1,0,0
249,84,68,1,0,0
250,84,68,1,0,0
251,84,68,1,0,0
252,84,68,1,0,0
253,84,67,1,0,0
260,87,69,1,0,0
262,88,69,1,0,0
263,88,69,1,0,0
264,88,69,1,0,0
265,88,69,1,0,0
268,89,69,1,0,0
269,89,69,1,0,0
270,89,70,1,0,0
271,89,70,1,0,0
273,90,70,1,0,0
274,90,70,1,0,0
279,92,71,1,0,0
281,92,71,1,0,0
284,94,72,1,0,0
285,94,72,1,0,0
288,95,72,1,0,0
291,96,72,1,0,0
293,97,73,1,0,0
294,97,73,1,0,0
295,97,73,1,0,0
297,97,74,1,0,0
299,98,74,1,0,0
301,98,75,1,0,0
302,98,75,1,0,0
303,98,75,1,0,0
304,98,75,1,0,0
306,0,0,1,0,0
307,0,0,1,0,0
308,0,0,1,0,0
309,0,0,1,0,0
310,0,0,1,0,0
311,0,0,1,0,0
312,0,0,1,0,0
313,0,0,1,0,0
314,0,0,1,0,0
315,0,0,1,0,0
316,0,0,1,0,0